Year,Weight
1871,157.0495
1872,166.9032
1873,157.5385
1874,159.5000
1875,164.0408
1876,165.9375
1877,167.6923
1878,172.0667
1879,169.0851
1880,170.3636
1881,173.3333
1882,169.3000
1883,171.7143
1884,167.7733
1885,173.6176
1886,168.1930
1887,165.9538
1888,170.9130
1889,168.7818
1890,169.2973
1891,168.9194
1892,167.2683
1893,173.3878
1894,166.2692
1895,170.0882
1896,169.7241
1897,173.5957
1898,172.3538
1899,170.3824
1900,174.5263
1901,172.4818
1902,173.7788
1903,171.6667
1904,171.0349
1905,176.5500
1906,174.9368
1907,173.0233
1908,174.2035
1909,176.2897
1910,172.1477
1911,172.3925
1912,171.3756
1913,173.3182
1914,171.1542
1915,172.6954
1916,168.7449
1917,169.5870
1918,173.4459
1919,172.2268
1920,172.2000
1921,169.4017
1922,173.9051
1923,173.8784
1924,173.1148
1925,171.9397
1926,173.1875
1927,171.5370
1928,176.9286
1929,174.6881
1930,177.3163
1931,176.5294
1932,176.4409
1933,180.2286
1934,180.0796
1935,178.1652
1936,180.4455
1937,179.8909
1938,178.1560
1939,180.5591
1940,183.0096
1941,183.5333
1942,182.6000
1943,182.3356
1944,180.6078
1945,179.8306
1946,183.2991
1947,182.4898
1948,183.4035
1949,183.5217
1950,183.5238
1951,181.5000
1952,184.5175
1953,184.4800
1954,183.1322
1955,184.4161
1956,183.6292
1957,185.9167
1958,185.7477
1959,188.1978
1960,186.8558
1961,185.1250
1962,184.6735
1963,185.5455
1964,183.8769
1965,184.3590
1966,187.7767
1967,185.9304
1968,188.7685
1969,186.9563
1970,187.6429
1971,184.1416
1972,184.4590
1973,185.4046
1974,184.8472
1975,185.9385
1976,188.0660
1977,186.7233
1978,186.2297
1979,187.3659
1980,186.9379
1981,186.2740
1982,189.0141
1983,189.5000
1984,187.0758
1985,187.3360
1986,186.8537
1987,185.4645
1988,190.8794
1989,188.2467
1990,188.0828
1991,191.9531
1992,191.6049
1993,192.5567
1994,193.0877
1995,192.3077
1996,196.1907
1997,195.0889
1998,198.2115
1999,198.7667
2000,198.7598
2001,202.2915
2002,206.1618
2003,201.5110
2004,204.9663
2005,210.1650
2006,209.5611
2007,209.9194
2008,207.7143
2009,211.3284
2010,211.9803
2011,210.0921
2012,210.0583
2013,211.0391
2014,211.0385
2015,210.1339
2016,207.3837
2017,206.9924
2018,206.2753
2019,201.5517
